CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
Pine,672421.00,Pine County,29430
Pipestone,742531.00,Pipestone County,9152
Polk,1253287.00,Polk County,31330
Pope,513791.00,Pope County,11216
Ramsey,38927888.00,Ramsey County,549632
Red Lake,151867.00,Red Lake County,4032
Redwood,857109.00,Redwood County,15158
Renville,722010.00,Renville County,14551
Rice,2553736.00,Rice County,67016
Rock,732101.00,Rock County,9334
Roseau,1086327.00,Roseau County,15176
St. Louis,9794058.00,St. Louis County,199212
Scott,6489380.00,Scott County,149004
Sherburne,3159842.00,Sherburne County,97424
Sibley,422100.00,Sibley County,14868
Stearns,8157758.00,Stearns County,161076
Steele,2174736.00,Steele County,36687
Stevens,600482.00,Stevens County,9822
Swift,446966.00,Swift County,9294
Todd,836085.00,Todd County,24725
Traverse,183309.00,Traverse County,3260
Wabasha,698721.00,Wabasha County,21548
Wadena,493901.00,Wadena County,13662
Waseca,717795.00,Waseca County,18558
Washington,11259843.00,Washington County,262541
Watonwan,459128.00,Watonwan County,10846
Wilkin,280480.00,Wilkin County,6223
Winona,2217318.00,Winona County,50659
Wright,4496034.00,Wright County,138542
Yellow Medicine,493517.00,Yellow Medicine County,9736
Mississippi,101525138.00,Mississippi,2978227
Adams,872741.00,Adams County,30736
Alcorn,1118894.00,Alcorn County,37043
Amite,223659.00,Amite County,12286
Attala,413264.00,Attala County,18173
Benton,230686.00,Benton County,8278
Bolivar,864424.00,Bolivar County,30714
Calhoun,249310.00,Calhoun County,14365
Carroll,98710.00,Carroll County,9928
Chickasaw,486362.00,Chickasaw County,17026
Choctaw,659484.00,Choctaw County,8192
Claiborne,689276.00,Claiborne County,8998
Clarke,274560.00,Clarke County,15506
Clay,498752.00,Clay County,19349
Coahoma,639791.00,Coahoma County,22095
Copiah,621957.00,Copiah County,28099
Covington,555124.00,Covington County,18562
DeSoto,5378488.00,DeSoto County,185385
Forrest,3209875.00,Forrest County,75035
Franklin,169724.00,Franklin County,7694
George,425689.00,George County,24435
Greene,139412.00,Greene County,13569
Grenada,826510.00,Grenada County,20732
Hancock,1385884.00,Hancock County,47673
Harrison,7826548.00,Harrison County,207859
Hinds,10892247.00,Hinds County,231919
Holmes,243961.00,Holmes County,17036
Humphreys,168325.00,Humphreys County,8056
Issaquena,19842.00,Issaquena County,1324
Itawamba,513058.00,Itawamba County,23351
Jackson,7145046.00,Jackson County,143387
Jasper,558723.00,Jasper County,16368
Jefferson,109849.00,Jefferson County,7022
Jefferson Davis,171890.00,Jefferson Davis County,11089
Jones,2413199.00,Jones County,68282
Kemper,322295.00,Kemper County,9780
Lafayette,1911482.00,Lafayette County,54239
Lamar,1554407.00,Lamar County,63447
Lauderdale,3001657.00,Lauderdale County,74619
Lawrence,314077.00,Lawrence County,12607
Leake,568700.00,Leake County,22830
Lee,4500737.00,Lee County,85674
Leflore,1060040.00,Leflore County,28202
Lincoln,1048638.00,Lincoln County,34111
Lowndes,2689273.00,Lowndes County,58621
Madison,5683451.00,Madison County,106334
Marion,800451.00,Marion County,24504
Marshall,624585.00,Marshall County,35302
Monroe,846732.00,Monroe County,35291
Montgomery,168390.00,Montgomery County,9766
Neshoba,961264.00,Neshoba County,29147
Newton,470112.00,Newton County,20987
Noxubee,215682.00,Noxubee County,10425
Oktibbeha,1572994.00,Oktibbeha County,49543
Panola,1010158.00,Panola County,34102
Pearl River,1002782.00,Pearl River County,55752
Perry,267093.00,Perry County,11998
Pike,1015496.00,Pike County,39284
Pontotoc,880658.00,Pontotoc County,32280
Prentiss,531098.00,Prentiss County,25074
Quitman,87374.00,Quitman County,6808
Rankin,6017152.00,Rankin County,155342
Scott,1071336.00,Scott County,28203
Sharkey,87206.00,Sharkey County,4312
Simpson,582672.00,Simpson County,26803
Smith,375623.00,Smith County,15840
Stone,329580.00,Stone County,18289
Sunflower,563419.00,Sunflower County,25131
Tallahatchie,252415.00,Tallahatchie County,13931
Tate,456178.00,Tate County,28304
Tippah,577956.00,Tippah County,22021
Tishomingo,512912.00,Tishomingo County,19368
Tunica,471684.00,Tunica County,9602
Union,1020219.00,Union County,28711
Walthall,246986.00,Walthall County,14316
Warren,2060226.00,Warren County,45477
Washington,1255291.00,Washington County,43973
Wayne,634675.00,Wayne County,20186
Webster,174220.00,Webster County,9702
Wilkinson,134190.00,Wilkinson County,8628
Winston,483850.00,Winston County,17993
Yalobusha,292500.00,Yalobusha County,12104
Yazoo,695586.00,Yazoo County,29698
Missouri,290842031.00,Missouri,6140475
Adair,737525.00,Adair County,25511
Andrew,310653.00,Andrew County,17699
Atchison,302486.00,Atchison County,5109
Audrain,846959.00,Audrain County,24962
Barry,1500459.00,Barry County,35789
Barton,307003.00,Barton County,11681
Bates,424729.00,Bates County,16213
Benton,372269.00,Benton County,19477
Bollinger,181707.00,Bollinger County,12142
Boone,8779082.00,Boone County,181084
Buchanan,4615246.00,Buchanan County,87212
Butler,1291293.00,Butler County,42574
Caldwell,195641.00,Caldwell County,9039
Callaway,1677115.00,Callaway County,44762
Camden,1411312.00,Camden County,46211
Cape Girardeau,3692214.00,Cape Girardeau County,78971
Carroll,343686.00,Carroll County,8698
Carter,110034.00,Carter County,5981
Cass,2483369.00,Cass County,105731
Cedar,247450.00,Cedar County,14301
Chariton,276708.00,Chariton County,7463
Christian,1621747.00,Christian County,88913
Clark,134550.00,Clark County,6804
Clay,11428296.00,Clay County,250522
Clinton,356628.00,Clinton County,20434
Cole,4857848.00,Cole County,76774
Cooper,406235.00,Cooper County,17563
Crawford,613080.00,Crawford County,23856
Dade,171732.00,Dade County,7547
Dallas,238940.00,Dallas County,16984
Daviess,171701.00,Daviess County,8273
DeKalb,297239.00,DeKalb County,10802
Dent,346832.00,Dent County,15548
Douglas,198365.00,Douglas County,13248
Dunklin,686935.00,Dunklin County,29173
Franklin,4231890.00,Franklin County,103860
Gasconade,432845.00,Gasconade County,14671
Gentry,225703.00,Gentry County,6564
Greene,15402263.00,Greene County,293499
Grundy,328426.00,Grundy County,9780
Harrison,229958.00,Harrison County,8346
Henry,645737.00,Henry County,21971
Hickory,135172.00,Hickory County,9496
Holt,231480.00,Holt County,4387
Howard,209628.00,Howard County,9982
Howell,1148568.00,Howell County,40084
Iron,426690.00,Iron County,10152
Jackson,43134462.00,Jackson County,704350
Jasper,5038849.00,Jasper County,121228
Jefferson,4766570.00,Jefferson County,225402
Johnson,1664977.00,Johnson County,54187
Knox,123389.00,Knox County,3957
Laclede,1128475.00,Laclede County,35869
Lafayette,751965.00,Lafayette County,32774
Lawrence,825513.00,Lawrence County,38288
Lewis,216083.00,Lewis County,9787
Lincoln,1164851.00,Lincoln County,59040
Linn,380959.00,Linn County,11906
Livingston,534086.00,Livingston County,14982
McDonald,692997.00,McDonald County,22912
Macon,516095.00,Macon County,15111
Madison,270617.00,Madison County,12118
Maries,164529.00,Maries County,8751
Marion,1080989.00,Marion County,28543
Mercer,104194.00,Mercer County,3619
Miller,629216.00,Miller County,25607
Mississippi,328206.00,Mississippi County,13208
Moniteau,400525.00,Moniteau County,15816
Monroe,177180.00,Monroe County,8627
Montgomery,338713.00,Montgomery County,11472
Morgan,482472.00,Morgan County,20720
New Madrid,976781.00,New Madrid County,17052
Newton,1925849.00,Newton County,58329
Nodaway,646988.00,Nodaway County,22089
Oregon,193629.00,Oregon County,10517
Osage,388952.00,Osage County,13621
Ozark,121953.00,Ozark County,9155
Pemiscot,394824.00,Pemiscot County,15864
Perry,1045299.00,Perry County,19164
Pettis,1580227.00,Pettis County,42417
Phelps,1427548.00,Phelps County,44593
Pike,467064.00,Pike County,17678
Platte,6469564.00,Platte County,104726
Polk,732208.00,Polk County,32228
Pulaski,2067648.00,Pulaski County,52634
Putnam,121369.00,Putnam County,4688
Ralls,520737.00,Ralls County,10292
Randolph,1110972.00,Randolph County,24839
Ray,470928.00,Ray County,23024
Reynolds,241333.00,Reynolds County,6288
Ripley,197631.00,Ripley County,13343
St. Charles,15975675.00,St. Charles County,401625
St. Clair,141651.00,St. Clair County,9450
Ste. Genevieve,592628.00,Ste. Genevieve County,17957
St. Francois,1584545.00,St. Francois County,66942
St. Louis,73216063.00,St. Louis County,995467
Saline,838856.00,Saline County,22827
Schuyler,88469.00,Schuyler County,4632
Scotland,135088.00,Scotland County,4936
Scott,1480889.00,Scott County,38416
Shannon,131193.00,Shannon County,8177
Shelby,145616.00,Shelby County,5923
Stoddard,960267.00,Stoddard County,29096
Stone,674453.00,Stone County,32002
Sullivan,469339.00,Sullivan County,6061
Taney,2298222.00,Taney County,56057
Texas,498294.00,Texas County,25383
Vernon,783290.00,Vernon County,20654
Warren,809374.00,Warren County,35716
Washington,353496.00,Washington County,24743
Wayne,203305.00,Wayne County,12904
Webster,698481.00,Webster County,39644
Worth,59718.00,Worth County,1989
Wright,300443.00,Wright County,18329
St. Louis City,26972663.00,St. Louis city,300887
Montana,46788047.00,Montana,1070123
Beaverhead,414564.00,Beaverhead County,9474
Big Horn,836632.00,Big Horn County,13248
Blaine,179601.00,Blaine County,6704
Broadwater,179006.00,Broadwater County,6203
Carbon,356067.00,Carbon County,10703
Carter,47247.00,Carter County,1245
Cascade,3360305.00,Cascade County,81393
Chouteau,265710.00,Chouteau County,5681
Custer,429174.00,Custer County,11361
Daniels,92786.00,Daniels County,1646
Dawson,388339.00,Dawson County,8638
Deer Lodge,244118.00,Deer Lodge County,9207
Fallon,219722.00,Fallon County,2878
Fergus,460431.00,Fergus County,11032
Flathead,3803189.00,Flathead County,103880
Gallatin,5681075.00,Gallatin County,114472
Garfield,36695.00,Garfield County,1272
Glacier,454195.00,Glacier County,13701
Golden Valley,26100.00,Golden Valley County,827
Granite,95758.00,Granite County,3335
Hill,707555.00,Hill County,16494
Jefferson,254886.00,Jefferson County,12211
Judith Basin,109019.00,Judith Basin County,2010
Lake,743490.00,Lake County,30586
Lewis and Clark,3181806.00,Lewis and Clark County,69578
Liberty,238216.00,Liberty County,2386
Lincoln,513071.00,Lincoln County,20099
McCone,91490.00,McCone County,1649
Madison,452720.00,Madison County,8749
Meagher,63779.00,Meagher County,1841
Mineral,90725.00,Mineral County,4422
Missoula,5058473.00,Missoula County,120066
Musselshell,280330.00,Musselshell County,4626
Park,553023.00,Park County,16612
Petroleum,17467.00,Petroleum County,497
Phillips,124813.00,Phillips County,3955
Pondera,254349.00,Pondera County,5858
Powder River,128802.00,Powder River County,1688
Powell,204717.00,Powell County,6854
Prairie,42010.00,Prairie County,1064
Ravalli,1028184.00,Ravalli County,44149
Richland,971753.00,Richland County,10943
Roosevelt,430092.00,Roosevelt County,11027
Rosebud,822307.00,Rosebud County,8955
Sanders,312130.00,Sanders County,11946
Sheridan,161902.00,Sheridan County,3318
Silver Bow,1373204.00,Silver Bow County,34901
Stillwater,630901.00,Stillwater County,9671
Sweet Grass,234806.00,Sweet Grass County,3717
Teton,253241.00,Teton County,6150
Toole,347247.00,Toole County,4709
Treasure,92761.00,Treasure County,697
Valley,282412.00,Valley County,7390
Wheatland,90823.00,Wheatland County,2102
Wibaux,46523.00,Wibaux County,954
Yellowstone,8821423.00,Yellowstone County,161349
Nebraska,118286500.00,Nebraska,1932571
Adams,1760031.00,Adams County,31309
Antelope,517205.00,Antelope County,6317
Arthur,21336.00,Arthur County,468
Banner,47381.00,Banner County,757
Blaine,36270.00,Blaine County,455
Boone,421853.00,Boone County,5176
Box Butte,571373.00,Box Butte County,10786
Boyd,126020.00,Boyd County,1894
Brown,243081.00,Brown County,2966
Buffalo,2792335.00,Buffalo County,49823
Burt,317430.00,Burt County,6494
Butler,290005.00,Butler County,7990
Cass,743350.00,Cass County,26186
Cedar,374790.00,Cedar County,8420
Chase,321241.00,Chase County,3901
Cherry,297528.00,Cherry County,5757
Cheyenne,509923.00,Cheyenne County,9011
Clay,311115.00,Clay County,6219
Colfax,665034.00,Colfax County,10677
Cuming,949094.00,Cuming County,8818
Custer,706323.00,Custer County,10796
Dakota,1411263.00,Dakota County,20100
Dawes,263643.00,Dawes County,8557
Dawson,1476349.00,Dawson County,23571
Deuel,76347.00,Deuel County,1816
Dixon,266808.00,Dixon County,5636
Dodge,1932783.00,Dodge County,36444
Douglas,44338074.00,Douglas County,570860
Dundy,190969.00,Dundy County,1686
Fillmore,349192.00,Fillmore County,5484
Franklin,74903.00,Franklin County,2945
Frontier,85717.00,Frontier County,2631
Furnas,221628.00,Furnas County,4690
Gage,889545.00,Gage County,21542
Garden,76454.00,Garden County,1822
Garfield,83745.00,Garfield County,1970
Gosper,89733.00,Gosper County,1978
Grant,31606.00,Grant County,631
Greeley,100445.00,Greeley County,2368
Hall,3212198.00,Hall County,61454
Hamilton,633458.00,Hamilton County,9285
Harlan,212834.00,Harlan County,3372
Hayes,100373.00,Hayes County,911
Hitchcock,130202.00,Hitchcock County,2759
Holt,635362.00,Holt County,10084
Hooker,33798.00,Hooker County,668
Howard,234212.00,Howard County,6423
Jefferson,398966.00,Jefferson County,7020
Johnson,165609.00,Johnson County,5050
Kearney,338207.00,Kearney County,6607
Keith,377237.00,Keith County,8021
Keya Paha,36479.00,Keya Paha County,784
Kimball,151373.00,Kimball County,3597
Knox,445193.00,Knox County,8337
Lancaster,17483605.00,Lancaster County,318403
Lincoln,2231277.00,Lincoln County,34856
Logan,33083.00,Logan County,750
Loup,45368.00,Loup County,659
McPherson,26537.00,McPherson County,493
Madison,2280178.00,Madison County,35059
Merrick,382422.00,Merrick County,7818
Morrill,483373.00,Morrill County,4624
Nance,111974.00,Nance County,3482
Nemaha,659361.00,Nemaha County,6943
Nuckolls,240529.00,Nuckolls County,4152
Otoe,1149045.00,Otoe County,15993
Pawnee,101978.00,Pawnee County,2639
Perkins,296171.00,Perkins County,2884
Phelps,832277.00,Phelps County,8991
Pierce,335916.00,Pierce County,7136
Platte,2401176.00,Platte County,33413
Polk,283483.00,Polk County,5154
Red Willow,492055.00,Red Willow County,10720
Richardson,336173.00,Richardson County,7854
Rock,94664.00,Rock County,1370
Saline,959787.00,Saline County,14194
Sarpy,7951490.00,Sarpy County,186893
Saunders,712096.00,Saunders County,21562
Scotts Bluff,1598698.00,Scotts Bluff County,35582
Seward,703393.00,Seward County,17318
Sheridan,293705.00,Sheridan County,5229
Sherman,106628.00,Sherman County,2984
Sioux,91998.00,Sioux County,1158
Stanton,330215.00,Stanton County,5932
Thayer,356595.00,Thayer County,4976
Thomas,38106.00,Thomas County,723
Thurston,401383.00,Thurston County,7234
Valley,268900.00,Valley County,4117
Washington,1154435.00,Washington County,20683
Wayne,404290.00,Wayne County,9413
Webster,251236.00,Webster County,3465
Wheeler,132591.00,Wheeler County,780
York,739948.00,York County,13612
Nevada,156828838.00,Nevada,3090771
Churchill,1089140.00,Churchill County,25048
Clark,112479170.00,Clark County,2275884
Douglas,2392556.00,Douglas County,48998
Elko,2658854.00,Elko County,52880
Esmeralda,40443.00,Esmeralda County,870
Eureka,1508698.00,Eureka County,2078
Humboldt,1310253.00,Humboldt County,16884
Lander,900608.00,Lander County,5516
Lincoln,151868.00,Lincoln County,5179
Lyon,1554508.00,Lyon County,57499
Mineral,205798.00,Mineral County,4516
Nye,1745117.00,Nye County,46845
Pershing,312960.00,Pershing County,6628
Storey,1722686.00,Storey County,4193
Washoe,24576886.00,Washoe County,472381
White Pine,650330.00,White Pine County,9478
Carson City,3384312.00,Carson City,55894
New Hampshire,77126518.00,New Hampshire,1360783
Belknap,2605173.00,Belknap County,61398
Carroll,1997148.00,Carroll County,48745
Cheshire,3498185.00,Cheshire County,75880
Coos,1130355.00,Coos County,31421
Grafton,6232922.00,Grafton County,90369
Hillsborough,25201608.00,Hillsborough County,417738
Merrimack,9078358.00,Merrimack County,151606
Rockingham,20404551.00,Rockingham County,309647
Strafford,5528962.00,Strafford County,130716
Sullivan,1466502.00,Sullivan County,43263
New Jersey,561842799.00,New Jersey,8891258
Atlantic,12472343.00,Atlantic County,263653
Bergen,72096353.00,Bergen County,932256
Burlington,26177916.00,Burlington County,446160
Camden,23035400.00,Camden County,506503
Cape May,4993336.00,Cape May County,92247
Cumberland,5877225.00,Cumberland County,148995
Essex,50444200.00,Essex County,802162
Gloucester,14879439.00,Gloucester County,291842
Hudson,42872666.00,Hudson County,674030
Hunterdon,7115090.00,Hunterdon County,125201
Mercer,33378088.00,Mercer County,368047
Middlesex,57406650.00,Middlesex County,824394
Monmouth,33433421.00,Monmouth County,619687
Morris,50101633.00,Morris County,491577
Ocean,19992788.00,Ocean County,607498
Passaic,20416500.00,Passaic County,501838
Salem,4683214.00,Salem County,62341
Somerset,38449526.00,Somerset County,329998
Sussex,4681076.00,Sussex County,140710
Union,35555291.00,Union County,556664
Warren,3833292.00,Warren County,105455
New Mexico,94872250.00,New Mexico,2099634
Bernalillo,34414788.00,Bernalillo County,679425
Catron,76517.00,Catron County,3507
Chaves,2014179.00,Chaves County,64586
Cibola,568520.00,Cibola County,26681
Colfax,433164.00,Colfax County,12068
Curry,2835595.00,Curry County,49083
De Baca,83763.00,De Baca County,1741
Do̱a Ana,6891476.00,Do̱a Ana County,218864
Eddy,8505572.00,Eddy County,58394
Grant,1107681.00,Grant County,26941
Guadalupe,137334.00,Guadalupe County,4278
Harding,71826.00,Harding County,636
Hidalgo,197853.00,Hidalgo County,4203
Lea,7336810.00,Lea County,71123
Lincoln,585479.00,Lincoln County,19730
Los Alamos,2115114.00,Los Alamos County,19383
Luna,762185.00,Luna County,23775
McKinley,2489500.00,McKinley County,71478
Mora,101559.00,Mora County,4490
Otero,2466641.00,Otero County,67572
Quay,269155.00,Quay County,8243
Rio Arriba,1222481.00,Rio Arriba County,38883
Roosevelt,663612.00,Roosevelt County,18501
Sandoval,3654936.00,Sandoval County,147045
San Juan,5687349.00,San Juan County,124027
San Miguel,600609.00,San Miguel County,27337
Santa Fe,6233797.00,Santa Fe County,150951
Sierra,267872.00,Sierra County,10886
Socorro,457821.00,Socorro County,16613
Taos,904267.00,Taos County,32752
Torrance,372965.00,Torrance County,15442
Union,211814.00,Union County,4043
Valencia,1412021.00,Valencia County,76953
New York,1494736441.00,New York,19463131
Albany,29185491.00,Albany County,304752
Allegany,1400168.00,Allegany County,45915
Bronx,39295797.00,Bronx County,1418187
Broome,8392724.00,Broome County,190737
Cattaraugus,2668599.00,Cattaraugus County,76230
Cayuga,2697108.00,Cayuga County,76450
Chautauqua,4486713.00,Chautauqua County,126636
Chemung,3483421.00,Chemung County,83404
Chenango,2136795.00,Chenango County,47234
Clinton,3416812.00,Clinton County,80031
Columbia,2185540.00,Columbia County,59582
Cortland,1656553.00,Cortland County,47410
Delaware,1960475.00,Delaware County,44356
Dutchess,13171269.00,Dutchess County,293934
Erie,52088534.00,Erie County,918813
Essex,1503248.00,Essex County,36987
Franklin,1806074.00,Franklin County,50102
Fulton,1776446.00,Fulton County,53336
Genesee,2321860.00,Genesee County,57414
Greene,2107973.00,Greene County,47211
Hamilton,205326.00,Hamilton County,4438
Herkimer,1751388.00,Herkimer County,61356
Jefferson,5730170.00,Jefferson County,110143
Kings,90988296.00,Kings County,2562329
Lewis,1019096.00,Lewis County,26329
Livingston,2102555.00,Livingston County,62893
Madison,2170043.00,Madison County,70875
Monroe,43231272.00,Monroe County,742605
Montgomery,1780946.00,Montgomery County,49355
Nassau,88745497.00,Nassau County,1356073
New York,639038317.00,New York County,1632326
Niagara,8999276.00,Niagara County,209563
Oneida,10243087.00,Oneida County,228240
Onondaga,28601221.00,Onondaga County,460870
Ontario,5828178.00,Ontario County,109984
Orange,17682023.00,Orange County,384950
Orleans,1227794.00,Orleans County,40351
Oswego,6237145.00,Oswego County,116934
Otsego,2484903.00,Otsego County,59347
Putnam,3538471.00,Putnam County,98511
Queens,92693860.00,Queens County,2253942
Rensselaer,7556522.00,Rensselaer County,158981
Richmond,14903066.00,Richmond County,476141
Rockland,15301402.00,Rockland County,326352
St. Lawrence,4387651.00,St. Lawrence County,107766
Saratoga,11084061.00,Saratoga County,229635
Schenectady,8474313.00,Schenectady County,155548
Schoharie,1038925.00,Schoharie County,31052
Schuyler,480816.00,Schuyler County,17812
Seneca,1485722.00,Seneca County,34189
Steuben,4198766.00,Steuben County,95328
Suffolk,88624943.00,Suffolk County,1478325
Sullivan,2833329.00,Sullivan County,75551
Tioga,1850653.00,Tioga County,48221
Tompkins,5682740.00,Tompkins County,101971
Ulster,6744721.00,Ulster County,177933
Warren,4198203.00,Warren County,63980
Washington,1811828.00,Washington County,61168
Wayne,3745001.00,Wayne County,89816
Westchester,74931074.00,Westchester County,968467
Wyoming,1703187.00,Wyoming County,39858
Yates,874959.00,Yates County,24902
North Carolina,514624898.00,North Carolina,10501384
Alamance,5713732.00,Alamance County,169173
Alexander,766362.00,Alexander County,37417
Alleghany,271455.00,Alleghany County,11134
Anson,749709.00,Anson County,23538
Ashe,742062.00,Ashe County,27215
Avery,579756.00,Avery County,17496
Beaufort,1812295.00,Beaufort County,47096
Bertie,641633.00,Bertie County,18962
Bladen,1322637.00,Bladen County,32864
Brunswick,4322998.00,Brunswick County,142987
Buncombe,13592155.00,Buncombe County,262049
Burke,2364233.00,Burke County,90424
Cabarrus,7138987.00,Cabarrus County,216340
Caldwell,2189630.00,Caldwell County,82275
Camden,142650.00,Camden County,10770
Carteret,2341621.00,Carteret County,69513
Caswell,326780.00,Caswell County,22590
Catawba,8205518.00,Catawba County,159363
Chatham,1539945.00,Chatham County,74419
Cherokee,742431.00,Cherokee County,28708
Chowan,584131.00,Chowan County,13917
Clay,234162.00,Clay County,11277
Cleveland,3953948.00,Cleveland County,97964
Columbus,1356650.00,Columbus County,55452
Craven,4478427.00,Craven County,102031
Cumberland,15830084.00,Cumberland County,336524
Currituck,708992.00,Currituck County,27916
Dare,2151853.00,Dare County,37071
Davidson,4367530.00,Davidson County,168238
Davie,1294265.00,Davie County,42699
Duplin,1980410.00,Duplin County,58802
Durham,32874240.00,Durham County,322969
Edgecombe,1496159.00,Edgecombe County,51429
Forsyth,23734226.00,Forsyth County,382118
Franklin,1539431.00,Franklin County,69775
Gaston,6879133.00,Gaston County,224652
Gates,180840.00,Gates County,11536
Graham,218566.00,Graham County,8470
Granville,2993775.00,Granville County,60358
Greene,424508.00,Greene County,20915
Guilford,30726779.00,Guilford County,537872
Halifax,1328783.00,Halifax County,50074
Harnett,2380255.00,Harnett County,136172
Haywood,1746858.00,Haywood County,62510
Henderson,3687892.00,Henderson County,117347
Hertford,767056.00,Hertford County,23642
Hoke,1017106.00,Hoke County,55166
Hyde,151288.00,Hyde County,4932
Iredell,8507630.00,Iredell County,181866
Jackson,1428428.00,Jackson County,43736
Johnston,6492109.00,Johnston County,209786
Jones,196851.00,Jones County,9339
Lee,2495517.00,Lee County,61772
Lenoir,2682043.00,Lenoir County,56074
Lincoln,2680228.00,Lincoln County,86627
McDowell,1463997.00,McDowell County,45784
Macon,1465136.00,Macon County,35729
Madison,389549.00,Madison County,21638
Martin,617361.00,Martin County,22451
Mecklenburg,101406435.00,Mecklenburg County,1113283
Mitchell,562982.00,Mitchell County,14928
Montgomery,907145.00,Montgomery County,27209
Moore,3350362.00,Moore County,101167
Nash,4337905.00,Nash County,94258
New Hanover,12230503.00,New Hanover County,234275
Northampton,519395.00,Northampton County,19498
Onslow,7051384.00,Onslow County,202795
Orange,8063541.00,Orange County,148192
Pamlico,268507.00,Pamlico County,12650
Pasquotank,1360173.00,Pasquotank County,39970
Pender,1452313.00,Pender County,63046
Perquimans,265405.00,Perquimans County,13578
Person,1514436.00,Person County,39621
Pitt,8502334.00,Pitt County,181257
Polk,443299.00,Polk County,20723
Randolph,3844645.00,Randolph County,143495
Richmond,1771720.00,Richmond County,44764
Robeson,3626543.00,Robeson County,130440
Rockingham,2744610.00,Rockingham County,91118
Rowan,4895441.00,Rowan County,141818
Rutherford,1725499.00,Rutherford County,67031
Sampson,1870494.00,Sampson County,63372
Scotland,1068590.00,Scotland County,34776
Stanly,1660407.00,Stanly County,62645
Stokes,998232.00,Stokes County,45634
Surry,2265610.00,Surry County,71741
Swain,621003.00,Swain County,14312
Transylvania,1633479.00,Transylvania County,34270
Tyrrell,111926.00,Tyrrell County,3813
Union,7331815.00,Union County,240028
Vance,1110123.00,Vance County,44670
Wake,78042037.00,Wake County,1112795
Warren,269164.00,Warren County,19692
Washington,235682.00,Washington County,11635
Watauga,2022173.00,Watauga County,56271
Wayne,4552427.00,Wayne County,123904
Wilkes,2209009.00,Wilkes County,68296
Wilson,3590706.00,Wilson County,81775
Yadkin,849811.00,Yadkin County,37617
Yancey,400618.00,Yancey County,18059
North Dakota,56246952.00,North Dakota,763724
Adams,135922.00,Adams County,2227
Barnes,579293.00,Barnes County,10414
Benson,219400.00,Benson County,6837
Billings,188672.00,Billings County,937
Bottineau,435185.00,Bottineau County,6292
Bowman,273651.00,Bowman County,3036
Burke,243356.00,Burke County,2131
Burleigh,5117387.00,Burleigh County,95816
Cass,11876940.00,Cass County,182238
Cavalier,352368.00,Cavalier County,3734
Dickey,376048.00,Dickey County,4851
Divide,229168.00,Divide County,2244
Dunn,1758400.00,Dunn County,4412
Eddy,143370.00,Eddy County,2241
Emmons,160586.00,Emmons County,3235
Foster,215873.00,Foster County,3217
Golden Valley,72750.00,Golden Valley County,1762
Grand Forks,3671954.00,Grand Forks County,69670
Grant,102881.00,Grant County,2272
Griggs,151116.00,Griggs County,2218
Hettinger,83072.00,Hettinger County,2521
Kidder,134890.00,Kidder County,2481
LaMoure,272131.00,LaMoure County,4049
Logan,126662.00,Logan County,1851
McHenry,244930.00,McHenry County,5753
McIntosh,154171.00,McIntosh County,2473
McKenzie,4795079.00,McKenzie County,15038
McLean,746808.00,McLean County,9440
Mercer,965612.00,Mercer County,8228
Morton,1404653.00,Morton County,31301
Mountrail,2199936.00,Mountrail County,10507
Nelson,147301.00,Nelson County,2856
Oliver,248906.00,Oliver County,1951
Pembina,438265.00,Pembina County,6754
Pierce,196952.00,Pierce County,3997
Ramsey,539065.00,Ramsey County,11488
Ransom,256787.00,Ransom County,5217
Renville,203034.00,Renville County,2324
Richland,761569.00,Richland County,16187
Rolette,360612.00,Rolette County,14271
Sargent,739117.00,Sargent County,3950
Sheridan,35310.00,Sheridan County,1295
Sioux,127920.00,Sioux County,4259
Slope,35787.00,Slope County,754
Stark,2713543.00,Stark County,31483
Steele,139892.00,Steele County,1900
Stutsman,1207943.00,Stutsman County,20695
Towner,144870.00,Towner County,2166
Traill,409237.00,Traill County,8037
Walsh,520824.00,Walsh County,10574
Ward,3674337.00,Ward County,68449
Wells,255482.00,Wells County,3794
Williams,5889101.00,Williams County,37897
Ohio,611145828.00,Ohio,11696507
Adams,676075.00,Adams County,27640
Allen,7609990.00,Allen County,102450
Ashland,1571769.00,Ashland County,53418
Ashtabula,2840510.00,Ashtabula County,97088
Athens,1922638.00,Athens County,65582
Auglaize,2130147.00,Auglaize County,45610
Belmont,3491157.00,Belmont County,66979
Brown,791076.00,Brown County,43473
Butler,20352075.00,Butler County,383603
Carroll,1747199.00,Carroll County,26984
Champaign,1055040.00,Champaign County,38930
Clark,4170098.00,Clark County,134315
Clermont,7995057.00,Clermont County,206851
Clinton,2009028.00,Clinton County,42002
Columbiana,2838421.00,Columbiana County,101794
Coshocton,1275315.00,Coshocton County,36549
Crawford,1205130.00,Crawford County,41396
Cuyahoga,88091046.00,Cuyahoga County,1235574
Darke,1940431.00,Darke County,51181
Defiance,1610831.00,Defiance County,37978
Delaware,11647346.00,Delaware County,209768
Erie,4188165.00,Erie County,74179
Fairfield,4149898.00,Fairfield County,157703
Fayette,2038357.00,Fayette County,28486
Franklin,88618482.00,Franklin County,1318766
Fulton,1860781.00,Fulton County,42175
Gallia,2005567.00,Gallia County,29850
Geauga,4002891.00,Geauga County,93494
Greene,9224293.00,Greene County,169354
